"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 14, 2016","5,218.40","5,246.33","5,247.17","5,192.05","537.26M","-0.36"
"Nov 11, 2016","5,237.11","5,191.82","5,241.08","5,179.64","561.97M","0.54"
"Nov 10, 2016","5,208.80","5,283.48","5,302.68","5,145.32","695.55M","-0.80"
"Nov 09, 2016","5,251.07","5,143.86","5,258.99","5,143.86","673.59M","1.11"
"Nov 08, 2016","5,193.49","5,154.99","5,214.17","5,145.30","395.69M","0.53"
"Nov 07, 2016","5,166.17","5,128.99","5,169.41","5,122.77","456.10M","2.37"
"Nov 04, 2016","5,046.37","5,034.41","5,087.51","5,034.41","478.36M","-0.24"
"Nov 03, 2016","5,058.41","5,104.70","5,115.06","5,053.52","471.92M","-0.92"
"Nov 02, 2016","5,105.57","5,147.27","5,156.70","5,097.56","469.03M","-0.93"
"Nov 01, 2016","5,153.58","5,199.77","5,201.13","5,112.32","430.72M","-0.69"
"Oct 31, 2016","5,189.14","5,205.09","5,206.70","5,186.56","434.89M","-0.02"
"Oct 28, 2016","5,190.10","5,203.70","5,232.35","5,178.76","426.51M","-0.50"
"Oct 27, 2016","5,215.97","5,272.19","5,274.12","5,211.75","434.94M","-0.65"
"Oct 26, 2016","5,250.27","5,256.40","5,280.85","5,237.05","374.48M","-0.63"
"Oct 25, 2016","5,283.40","5,306.47","5,310.27","5,278.57","348.72M","-0.50"
"Oct 24, 2016","5,309.83","5,290.31","5,311.50","5,289.23","349.69M","1.00"
"Oct 21, 2016","5,257.40","5,238.65","5,259.12","5,225.76","396.38M","0.30"
"Oct 20, 2016","5,241.83","5,238.20","5,252.10","5,216.05","383.97M","-0.09"
"Oct 19, 2016","5,246.41","5,240.33","5,253.83","5,234.25","344.43M","0.05"
"Oct 18, 2016","5,243.84","5,255.32","5,264.27","5,239.44","325.86M","0.85"
"Oct 17, 2016","5,199.82","5,213.69","5,219.98","5,196.03","326.32M","-0.28"
"Oct 14, 2016","5,214.16","5,241.26","5,258.88","5,213.37","361.33M","0.02"
"Oct 13, 2016","5,213.33","5,200.30","5,228.26","5,169.76","385.74M","-0.49"
"Oct 12, 2016","5,239.02","5,247.91","5,257.18","5,228.77","340.52M","-0.15"
